"Time","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[1]","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[2]","ur10e_robotRun.ur10e_robot.tool0.frame_a.r_0[3]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[1]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[2]","ur10e_robotRun.ur10e_robot.tool0.frame_a.R.w[3]"
11.19,0.475210647066659,0.58811649526808762,-0.67447267686354206,0.15288896537671906,-0.19843676673550537,0.30526725296012158
11.200000000000001,0.47341375667932789,0.58781967790462863,-0.67531338273575714,0.1525746466951042,-0.19873719457145134,0.30472759944393457
11.210000000000001,0.47161876237018974,0.5875195383395776,-0.67615048504283382,0.1522591371684506,-0.19903549670890092,0.30418886085831576
11.220000000000001,0.46982567510254686,0.58721608956629578,-0.67698398987075015,0.15194245009442403,-0.1993316730158812,0.30365103750013123
11.225000000000001,0.46892985001597609,0.58706312828963092,-0.67739939513746106,0.15178366911658903,-0.19947896395161013,0.30338246910675098
11.23,0.46803450576900368,0.58690934458776278,-0.67781390332582381,0.15162459873444786,-0.19962572342627671,0.30311412964795048
11.24,0.46624526519162601,0.58659931641627527,-0.67864023153451958,0.15130559637257943,-0.19991764801757467,0.30257813768039366
11.25,0.46445796412190304,0.58628601807310687,-0.6794629806433492,0.15098545621384904,-0.20020744687748715,0.30204306187357999
11.26,0.4626726132408796,0.58596946258820204,-0.68028215681869131,0.15066419142211859,-0.20049512015329829,0.30150890247735207
11.27,0.46088922315925313,0.58564966299986576,-0.68109776624663332,0.15034181511986963,-0.20078066805145653,0.30097565971543438
11.275,0.45999826671484101,0.5854885507435893,-0.68150423536883165,0.15018021424170938,-0.20092264506450891,0.30070938213515319
11.279999999999999,0.45910780441745769,0.58532663235444782,-0.68190981513281257,0.15001834038799305,-0.20106409083716878,0.30044333378559213
11.290000000000001,0.45732836748576378,0.58500038370603435,-0.68271830970225889,0.14969378026558336,-0.20134538883399361,0.2999119248597894
11.300000000000001,0.45555092276437081,0.58467093011613858,-0.68352325619923504,0.1493681477486119,-0.20162456242191851,0.29938143308209647
11.31,0.45377548058351186,0.58433828465339421,-0.68432466088707811,0.14904145578755529,-0.20190161203398155,0.29885185856448621
11.32,0.45200205120351783,0.584002460393242,-0.68512253004805312,0.14871371729908381,-0.20217653817195796,0.29832320141082341
